2021-04-08 11:54:29.714842 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.715081 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.715231 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.715396 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.715501 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.715602 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.715701 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.715803 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.715902 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.715999 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.716099 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.716198 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.716298 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.716395 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.716543 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.716641 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.716741 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.716838 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:54:29.716935 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populating workers...
2021-04-08 11:54:29.717031 CEST | [multi_agent_per_av_part_bits_rep_2021_04_08_11_46_28_0006] Populated
2021-04-08 11:55:28.066962 CEST | AverageDiscountedReturn    633.804
2021-04-08 11:55:28.067134 CEST | AverageReturn              999.74
2021-04-08 11:55:28.067287 CEST | ExplainedVariance            0.987868
2021-04-08 11:55:28.067438 CEST | NumTrajs                     4
2021-04-08 11:55:28.067589 CEST | Entropy                      1.31176
2021-04-08 11:55:28.067742 CEST | Perplexity                   3.71271
2021-04-08 11:55:28.067894 CEST | StdReturn                    0.106668
2021-04-08 11:55:28.068046 CEST | MaxReturn                  999.862
2021-04-08 11:55:28.068197 CEST | MinReturn                  999.571
2021-04-08 11:55:28.068346 CEST | Iteration                   25
2021-04-08 11:55:28.068514 CEST | AverageDiscountedReturn    633.769
2021-04-08 11:55:28.068667 CEST | AverageReturn              999.684
2021-04-08 11:55:28.068818 CEST | ExplainedVariance            1
2021-04-08 11:55:28.068967 CEST | NumTrajs                     4
2021-04-08 11:55:28.069118 CEST | Entropy                      1.31176
2021-04-08 11:55:28.069270 CEST | Perplexity                   3.71271
2021-04-08 11:55:28.069422 CEST | StdReturn                    0.0607466
2021-04-08 11:55:28.069575 CEST | MaxReturn                  999.784
2021-04-08 11:55:28.069727 CEST | MinReturn                  999.631
2021-04-08 11:55:28.069876 CEST | Iteration                   25
2021-04-08 11:55:28.070029 CEST | AverageDiscountedReturn    633.837
2021-04-08 11:55:28.070182 CEST | AverageReturn              999.804
2021-04-08 11:55:28.070334 CEST | ExplainedVariance            0.999999
2021-04-08 11:55:28.070488 CEST | NumTrajs                     4
2021-04-08 11:55:28.070639 CEST | Entropy                      1.31176
2021-04-08 11:55:28.070795 CEST | Perplexity                   3.71271
2021-04-08 11:55:28.070946 CEST | StdReturn                    0.0465205
2021-04-08 11:55:28.071146 CEST | MaxReturn                  999.875
2021-04-08 11:55:28.071307 CEST | MinReturn                  999.759
2021-04-08 11:55:28.071460 CEST | Iteration                   25
2021-04-08 11:55:28.071611 CEST | AverageDiscountedReturn    530.325
2021-04-08 11:55:28.071761 CEST | AverageReturn              803.683
2021-04-08 11:55:28.071914 CEST | ExplainedVariance            0.581132
2021-04-08 11:55:28.072066 CEST | NumTrajs                     5
2021-04-08 11:55:28.072217 CEST | Entropy                      1.31176
2021-04-08 11:55:28.072372 CEST | Perplexity                   3.71271
2021-04-08 11:55:28.072528 CEST | StdReturn                  302.036
2021-04-08 11:55:28.072680 CEST | MaxReturn                  999.683
2021-04-08 11:55:28.072832 CEST | MinReturn                  219.835
2021-04-08 11:55:28.072984 CEST | Iteration                   25
2021-04-08 11:55:28.073161 CEST | AverageDiscountedReturn    633.831
2021-04-08 11:55:28.073319 CEST | AverageReturn              999.796
2021-04-08 11:55:28.073472 CEST | ExplainedVariance            0.951334
2021-04-08 11:55:28.073626 CEST | NumTrajs                     4
2021-04-08 11:55:28.073779 CEST | Entropy                      1.31176
2021-04-08 11:55:28.073933 CEST | Perplexity                   3.71271
2021-04-08 11:55:28.074089 CEST | StdReturn                    0.0493011
2021-04-08 11:55:28.074243 CEST | MaxReturn                  999.841
2021-04-08 11:55:28.074399 CEST | MinReturn                  999.719
2021-04-08 11:55:28.074556 CEST | AveragePolicyStd             0.898368
2021-04-08 11:55:28.074709 CEST | AveragePolicyStd             0.898368
2021-04-08 11:55:28.074861 CEST | AveragePolicyStd             0.898368
2021-04-08 11:55:28.075014 CEST | AveragePolicyStd             0.898368
2021-04-08 11:55:28.075192 CEST | AveragePolicyStd             0.898368
2021-04-08 11:55:28.075347 CEST | AveragePolicyStd             0.898368
2021-04-08 11:55:28.075502 CEST | AveragePolicyStd             0.898368
2021-04-08 11:55:28.075656 CEST | AveragePolicyStd             0.898368
2021-04-08 11:55:28.075809 CEST | AveragePolicyStd             0.898368
2021-04-08 11:55:28.075963 CEST | AveragePolicyStd             0.898368
2021-04-08 11:55:28.076116 CEST | Iteration                   26
2021-04-08 11:55:28.076271 CEST | AverageDiscountedReturn    633.843
2021-04-08 11:55:28.076426 CEST | AverageReturn              999.796
2021-04-08 11:55:28.076580 CEST | ExplainedVariance            0.999999
2021-04-08 11:55:28.076735 CEST | NumTrajs                     4
2021-04-08 11:55:28.076888 CEST | Entropy                      1.30862
2021-04-08 11:55:28.077044 CEST | Perplexity                   3.70108
2021-04-08 11:55:28.077198 CEST | StdReturn                    0.0771409
2021-04-08 11:55:28.077353 CEST | MaxReturn                  999.863
2021-04-08 11:55:28.077506 CEST | MinReturn                  999.665
2021-04-08 11:55:28.077676 CEST | Iteration                   26
2021-04-08 11:55:28.077831 CEST | AverageDiscountedReturn    579.744
2021-04-08 11:55:28.077986 CEST | AverageReturn              889.722
2021-04-08 11:55:28.078141 CEST | ExplainedVariance            0.669357
2021-04-08 11:55:28.078299 CEST | NumTrajs                     5
2021-04-08 11:55:28.078453 CEST | Entropy                      1.30862
2021-04-08 11:55:28.078609 CEST | Perplexity                   3.70108
2021-04-08 11:55:28.078763 CEST | StdReturn                  220.028
2021-04-08 11:55:28.078917 CEST | MaxReturn                  999.869
2021-04-08 11:55:28.079070 CEST | MinReturn                  449.666
2021-04-08 11:55:28.079243 CEST | Iteration                   26
2021-04-08 11:55:28.079398 CEST | AverageDiscountedReturn    633.859
2021-04-08 11:55:28.079591 CEST | AverageReturn              999.831
2021-04-08 11:55:28.079756 CEST | ExplainedVariance            0.952508
2021-04-08 11:55:28.079913 CEST | NumTrajs                     4
2021-04-08 11:55:28.080067 CEST | Entropy                      1.30862
2021-04-08 11:55:28.080220 CEST | Perplexity                   3.70108
2021-04-08 11:55:28.080373 CEST | StdReturn                    0.0315136
2021-04-08 11:55:28.080527 CEST | MaxReturn                  999.867
2021-04-08 11:55:28.080680 CEST | MinReturn                  999.781
2021-04-08 11:55:28.080833 CEST | Iteration                   26
2021-04-08 11:55:28.080987 CEST | AverageDiscountedReturn    604.994
2021-04-08 11:55:28.081141 CEST | AverageReturn              933.717
2021-04-08 11:55:28.081295 CEST | ExplainedVariance            0.829147
2021-04-08 11:55:28.081448 CEST | NumTrajs                     5
2021-04-08 11:55:28.081602 CEST | Entropy                      1.30862
2021-04-08 11:55:28.081754 CEST | Perplexity                   3.70108
2021-04-08 11:55:28.081906 CEST | StdReturn                  132.025
2021-04-08 11:55:28.082059 CEST | MaxReturn                  999.829
2021-04-08 11:55:28.082212 CEST | MinReturn                  669.667
2021-04-08 11:55:28.082366 CEST | Iteration                   26
2021-04-08 11:55:28.082521 CEST | AverageDiscountedReturn    633.786
2021-04-08 11:55:28.082674 CEST | AverageReturn              999.706
2021-04-08 11:55:28.082826 CEST | ExplainedVariance            0.957004
2021-04-08 11:55:28.082980 CEST | NumTrajs                     4
2021-04-08 11:55:28.083251 CEST | Entropy                      1.30862
2021-04-08 11:55:28.083467 CEST | Perplexity                   3.70108
2021-04-08 11:55:28.083664 CEST | StdReturn                    0.0502608
2021-04-08 11:55:28.083855 CEST | MaxReturn                  999.766
2021-04-08 11:55:28.084045 CEST | MinReturn                  999.633
2021-04-08 11:55:28.084242 CEST | Iteration                   26
2021-04-08 11:55:28.084424 CEST | AverageDiscountedReturn    610.955
2021-04-08 11:55:28.084607 CEST | AverageReturn              945.719
2021-04-08 11:55:28.084796 CEST | ExplainedVariance            0.876577
2021-04-08 11:55:28.084980 CEST | NumTrajs                     5
2021-04-08 11:55:28.085172 CEST | Entropy                      1.30862
2021-04-08 11:55:28.085360 CEST | Perplexity                   3.70108
2021-04-08 11:55:28.085551 CEST | StdReturn                  108.024
2021-04-08 11:55:28.085731 CEST | MaxReturn                  999.866
2021-04-08 11:55:28.085911 CEST | MinReturn                  729.671
2021-04-08 11:55:28.086097 CEST | Iteration                   26
2021-04-08 11:55:28.086279 CEST | AverageDiscountedReturn    547.765
2021-04-08 11:55:28.086469 CEST | AverageReturn              817.626
2021-04-08 11:55:28.086655 CEST | ExplainedVariance            0.579807
2021-04-08 11:55:28.086841 CEST | NumTrajs                     5
2021-04-08 11:55:28.087023 CEST | Entropy                      1.30862
2021-04-08 11:55:28.087236 CEST | Perplexity                   3.70108
2021-04-08 11:55:28.087421 CEST | StdReturn                  230.847
2021-04-08 11:55:28.087605 CEST | MaxReturn                  999.772
2021-04-08 11:55:28.087801 CEST | MinReturn                  449.743
2021-04-08 11:55:28.087988 CEST | Iteration                   26
2021-04-08 11:55:28.088170 CEST | AverageDiscountedReturn    633.753
2021-04-08 11:55:28.088353 CEST | AverageReturn              999.652
2021-04-08 11:55:28.088592 CEST | ExplainedVariance            0.850933
2021-04-08 11:55:28.088828 CEST | NumTrajs                     4
2021-04-08 11:55:28.089008 CEST | Entropy                      1.30862
2021-04-08 11:55:28.089268 CEST | Perplexity                   3.70108
2021-04-08 11:55:28.089482 CEST | StdReturn                    0.141717
2021-04-08 11:55:28.089688 CEST | MaxReturn                  999.819
2021-04-08 11:55:28.089885 CEST | MinReturn                  999.429
2021-04-08 11:55:28.090117 CEST | Iteration                   26
2021-04-08 11:55:28.090369 CEST | AverageDiscountedReturn    633.775
2021-04-08 11:55:28.090583 CEST | AverageReturn              999.704
2021-04-08 11:55:28.090783 CEST | ExplainedVariance            0.999999
2021-04-08 11:55:28.090985 CEST | NumTrajs                     4
2021-04-08 11:55:28.091223 CEST | Entropy                      1.30862
2021-04-08 11:55:28.091427 CEST | Perplexity                   3.70108
2021-04-08 11:55:28.091668 CEST | StdReturn                    0.0392148
2021-04-08 11:55:28.091934 CEST | MaxReturn                  999.769
2021-04-08 11:55:28.092198 CEST | MinReturn                  999.672
2021-04-08 11:55:28.092454 CEST | Iteration                   26
2021-04-08 11:55:28.092686 CEST | AverageDiscountedReturn    633.763
2021-04-08 11:55:28.092896 CEST | AverageReturn              999.683
2021-04-08 11:55:28.093097 CEST | ExplainedVariance            0.999999
2021-04-08 11:55:28.093296 CEST | NumTrajs                     4
2021-04-08 11:55:28.093501 CEST | Entropy                      1.30862
2021-04-08 11:55:28.093696 CEST | Perplexity                   3.70108
2021-04-08 11:55:28.093902 CEST | StdReturn                    0.0887696
2021-04-08 11:55:28.094103 CEST | MaxReturn                  999.799
2021-04-08 11:55:28.094303 CEST | MinReturn                  999.588
2021-04-08 11:55:28.094503 CEST | AveragePolicyStd             0.895553
2021-04-08 11:55:28.094699 CEST | AveragePolicyStd             0.895553
2021-04-08 11:55:28.094897 CEST | AveragePolicyStd             0.895553
2021-04-08 11:55:28.095148 CEST | AveragePolicyStd             0.895553
2021-04-08 11:55:28.095339 CEST | AveragePolicyStd             0.895553
2021-04-08 11:55:28.095519 CEST | AveragePolicyStd             0.895553
2021-04-08 11:55:28.095716 CEST | AveragePolicyStd             0.895553
2021-04-08 11:55:28.095918 CEST | AveragePolicyStd             0.895553
2021-04-08 11:55:28.096115 CEST | AveragePolicyStd             0.895553
2021-04-08 11:55:28.096315 CEST | AveragePolicyStd             0.895553
2021-04-08 11:55:28.096540 CEST | Iteration                   27
2021-04-08 11:55:28.096732 CEST | AverageDiscountedReturn    633.729
2021-04-08 11:55:28.096925 CEST | AverageReturn              999.622
2021-04-08 11:55:28.097120 CEST | ExplainedVariance            0.999999
2021-04-08 11:55:28.097319 CEST | NumTrajs                     4
2021-04-08 11:55:28.097515 CEST | Entropy                      1.30491
2021-04-08 11:55:28.097708 CEST | Perplexity                   3.68734
2021-04-08 11:55:28.097905 CEST | StdReturn                    0.087323
2021-04-08 11:55:28.098101 CEST | MaxReturn                  999.69
2021-04-08 11:55:28.098300 CEST | MinReturn                  999.474
2021-04-08 11:55:28.098501 CEST | Iteration                   27
2021-04-08 11:55:28.098694 CEST | AverageDiscountedReturn    549.832
2021-04-08 11:55:28.098895 CEST | AverageReturn              847.68
2021-04-08 11:55:28.099104 CEST | ExplainedVariance            0.63858
2021-04-08 11:55:28.099306 CEST | NumTrajs                     5
2021-04-08 11:55:28.099501 CEST | Entropy                      1.30491
2021-04-08 11:55:28.099690 CEST | Perplexity                   3.68734
2021-04-08 11:55:28.099888 CEST | StdReturn                  303.964
2021-04-08 11:55:28.100100 CEST | MaxReturn                  999.852
2021-04-08 11:55:28.100302 CEST | MinReturn                  239.753
2021-04-08 11:55:28.100502 CEST | Iteration                   27
2021-04-08 11:55:28.100704 CEST | AverageDiscountedReturn    599.054
2021-04-08 11:55:28.100906 CEST | AverageReturn              917.653
2021-04-08 11:55:28.101110 CEST | ExplainedVariance            0.725016
2021-04-08 11:55:28.101309 CEST | NumTrajs                     5
2021-04-08 11:55:28.101507 CEST | Entropy                      1.30491
2021-04-08 11:55:28.101746 CEST | Perplexity                   3.68734
2021-04-08 11:55:28.101997 CEST | StdReturn                  123.938
2021-04-08 11:55:28.102209 CEST | MaxReturn                  999.781
2021-04-08 11:55:28.102420 CEST | MinReturn                  679.783
2021-04-08 11:55:28.102624 CEST | Iteration                   27
2021-04-08 11:55:28.102828 CEST | AverageDiscountedReturn    633.772
2021-04-08 11:55:28.103028 CEST | AverageReturn              999.645
2021-04-08 11:55:28.103264 CEST | ExplainedVariance            0.944798
2021-04-08 11:55:28.103476 CEST | NumTrajs                     4
2021-04-08 11:55:28.103678 CEST | Entropy                      1.30491
2021-04-08 11:55:28.103887 CEST | Perplexity                   3.68734
2021-04-08 11:55:28.104087 CEST | StdReturn                    0.0796767
2021-04-08 11:55:28.104289 CEST | MaxReturn                  999.738
2021-04-08 11:55:28.104491 CEST | MinReturn                  999.528
2021-04-08 11:55:28.104691 CEST | Iteration                   27
2021-04-08 11:55:28.104888 CEST | AverageDiscountedReturn    494.799
2021-04-08 11:55:28.105090 CEST | AverageReturn              733.028
2021-04-08 11:55:28.105291 CEST | ExplainedVariance            0.383759
2021-04-08 11:55:28.105494 CEST | NumTrajs                     6
2021-04-08 11:55:28.105694 CEST | Entropy                      1.30491
2021-04-08 11:55:28.105893 CEST | Perplexity                   3.68734
2021-04-08 11:55:28.106096 CEST | StdReturn                  316.451
2021-04-08 11:55:28.106305 CEST | MaxReturn                  999.745
2021-04-08 11:55:28.106513 CEST | MinReturn                  179.835
2021-04-08 11:55:28.106718 CEST | Iteration                   27
2021-04-08 11:55:28.106920 CEST | AverageDiscountedReturn    596.423
2021-04-08 11:55:28.107132 CEST | AverageReturn              917.672
2021-04-08 11:55:28.107334 CEST | ExplainedVariance            0.588255
2021-04-08 11:55:28.107533 CEST | NumTrajs                     5
2021-04-08 11:55:28.107735 CEST | Entropy                      1.30491
2021-04-08 11:55:28.107941 CEST | Perplexity                   3.68734
2021-04-08 11:55:28.108139 CEST | StdReturn                  163.924
2021-04-08 11:55:28.108343 CEST | MaxReturn                  999.805
2021-04-08 11:55:28.108536 CEST | MinReturn                  589.824
2021-04-08 11:55:28.108734 CEST | Iteration                   27
2021-04-08 11:55:28.108987 CEST | AverageDiscountedReturn    633.732
2021-04-08 11:55:28.109260 CEST | AverageReturn              999.633
2021-04-08 11:55:28.109563 CEST | ExplainedVariance            0.941794
2021-04-08 11:55:28.109818 CEST | NumTrajs                     4
2021-04-08 11:55:28.110082 CEST | Entropy                      1.30491
2021-04-08 11:55:28.110323 CEST | Perplexity                   3.68734
2021-04-08 11:55:28.110589 CEST | StdReturn                    0.0887055
2021-04-08 11:55:28.110914 CEST | MaxReturn                  999.734
2021-04-08 11:55:28.111180 CEST | MinReturn                  999.53
2021-04-08 11:55:28.111406 CEST | Iteration                   27
2021-04-08 11:55:28.111642 CEST | AverageDiscountedReturn    548.768
2021-04-08 11:55:28.111940 CEST | AverageReturn              821.718
2021-04-08 11:55:28.112216 CEST | ExplainedVariance            0.526652
2021-04-08 11:55:28.112425 CEST | NumTrajs                     5
2021-04-08 11:55:28.112627 CEST | Entropy                      1.30491
2021-04-08 11:55:28.112892 CEST | Perplexity                   3.68734
2021-04-08 11:55:28.113129 CEST | StdReturn                  236.482
2021-04-08 11:55:28.113334 CEST | MaxReturn                  999.781
2021-04-08 11:55:28.113540 CEST | MinReturn                  409.76
2021-04-08 11:55:28.113743 CEST | Iteration                   27
2021-04-08 11:55:28.113951 CEST | AverageDiscountedReturn    584.816
2021-04-08 11:55:28.114156 CEST | AverageReturn              897.795
2021-04-08 11:55:28.114364 CEST | ExplainedVariance            0.767736
2021-04-08 11:55:28.114565 CEST | NumTrajs                     5
2021-04-08 11:55:28.114774 CEST | Entropy                      1.30491
2021-04-08 11:55:28.114981 CEST | Perplexity                   3.68734
2021-04-08 11:55:28.115208 CEST | StdReturn                  204.014
2021-04-08 11:55:28.115414 CEST | MaxReturn                  999.889
2021-04-08 11:55:28.115614 CEST | MinReturn                  489.767
2021-04-08 11:55:28.115818 CEST | Iteration                   27
2021-04-08 11:55:28.116024 CEST | AverageDiscountedReturn    633.834
2021-04-08 11:55:28.116228 CEST | AverageReturn              999.77
2021-04-08 11:55:28.116429 CEST | ExplainedVariance            0.889746
2021-04-08 11:55:28.116713 CEST | NumTrajs                     4
2021-04-08 11:55:28.116958 CEST | Entropy                      1.30491
2021-04-08 11:55:28.117227 CEST | Perplexity                   3.68734
2021-04-08 11:55:28.117416 CEST | StdReturn                    0.0378866
2021-04-08 11:55:28.117597 CEST | MaxReturn                  999.802
2021-04-08 11:55:28.117787 CEST | MinReturn                  999.707
2021-04-08 11:55:28.117994 CEST | AveragePolicyStd             0.892229
2021-04-08 11:55:28.118197 CEST | AveragePolicyStd             0.892229
2021-04-08 11:55:28.118401 CEST | AveragePolicyStd             0.892229
2021-04-08 11:55:28.118605 CEST | AveragePolicyStd             0.892229
2021-04-08 11:55:28.118820 CEST | AveragePolicyStd             0.892229
2021-04-08 11:55:28.119030 CEST | AveragePolicyStd             0.892229
2021-04-08 11:55:28.119255 CEST | AveragePolicyStd             0.892229
2021-04-08 11:55:28.119458 CEST | AveragePolicyStd             0.892229
2021-04-08 11:55:28.119702 CEST | AveragePolicyStd             0.892229
2021-04-08 11:55:28.119911 CEST | AveragePolicyStd             0.892229
2021-04-08 11:55:28.120121 CEST | Iteration                   28
2021-04-08 11:55:28.120327 CEST | AverageDiscountedReturn    610.041
2021-04-08 11:55:28.120578 CEST | AverageReturn              943.764
2021-04-08 11:55:28.120796 CEST | ExplainedVariance            0.868897
2021-04-08 11:55:28.121002 CEST | NumTrajs                     5
2021-04-08 11:55:28.121206 CEST | Entropy                      1.30097
2021-04-08 11:55:28.121450 CEST | Perplexity                   3.67287
2021-04-08 11:55:28.121708 CEST | StdReturn                  111.998
2021-04-08 11:55:28.121989 CEST | MaxReturn                  999.86
2021-04-08 11:55:28.122298 CEST | MinReturn                  719.769
2021-04-08 11:55:28.122590 CEST | Iteration                   28
2021-04-08 11:55:28.122803 CEST | AverageDiscountedReturn    574.544
2021-04-08 11:55:28.123008 CEST | AverageReturn              881.713
2021-04-08 11:55:28.123241 CEST | ExplainedVariance            0.716218
2021-04-08 11:55:28.123435 CEST | NumTrajs                     5
2021-04-08 11:55:28.123624 CEST | Entropy                      1.30097
2021-04-08 11:55:28.123825 CEST | Perplexity                   3.67287
2021-04-08 11:55:28.124022 CEST | StdReturn                  236.04
2021-04-08 11:55:28.124229 CEST | MaxReturn                  999.842
2021-04-08 11:55:28.124433 CEST | MinReturn                  409.634
2021-04-08 11:55:28.124637 CEST | Iteration                   28
2021-04-08 11:55:28.124837 CEST | AverageDiscountedReturn    633.808
2021-04-08 11:55:28.125037 CEST | AverageReturn              999.76
2021-04-08 11:55:28.125238 CEST | ExplainedVariance            0.75968
2021-04-08 11:55:28.125442 CEST | NumTrajs                     4
2021-04-08 11:55:28.125640 CEST | Entropy                      1.30097
2021-04-08 11:55:28.125838 CEST | Perplexity                   3.67287
2021-04-08 11:55:28.126046 CEST | StdReturn                    0.0651976
2021-04-08 11:55:28.126247 CEST | MaxReturn                  999.811
2021-04-08 11:55:28.126451 CEST | MinReturn                  999.649
2021-04-08 11:55:28.126654 CEST | Iteration                   28
2021-04-08 11:55:28.126854 CEST | AverageDiscountedReturn    579.811
2021-04-08 11:55:28.127051 CEST | AverageReturn              889.81
2021-04-08 11:55:28.127294 CEST | ExplainedVariance            0.669408
2021-04-08 11:55:28.127509 CEST | NumTrajs                     5
2021-04-08 11:55:28.127710 CEST | Entropy                      1.30097
2021-04-08 11:55:28.127910 CEST | Perplexity                   3.67287
2021-04-08 11:55:28.128107 CEST | StdReturn                  220.017
2021-04-08 11:55:28.128312 CEST | MaxReturn                  999.841
2021-04-08 11:55:28.128513 CEST | MinReturn                  449.775
2021-04-08 11:55:28.128715 CEST | Iteration                   28
2021-04-08 11:55:28.128901 CEST | AverageDiscountedReturn    633.795
2021-04-08 11:55:28.129108 CEST | AverageReturn              999.737
2021-04-08 11:55:28.129314 CEST | ExplainedVariance            0.634979
2021-04-08 11:55:28.129504 CEST | NumTrajs                     4
2021-04-08 11:55:28.129724 CEST | Entropy                      1.30097
2021-04-08 11:55:28.129909 CEST | Perplexity                   3.67287
2021-04-08 11:55:28.130102 CEST | StdReturn                    0.141413
2021-04-08 11:55:28.130307 CEST | MaxReturn                  999.862
2021-04-08 11:55:28.130506 CEST | MinReturn                  999.498
2021-04-08 11:55:28.130700 CEST | Iteration                   28
2021-04-08 11:55:28.130929 CEST | AverageDiscountedReturn    633.763
2021-04-08 11:55:28.131165 CEST | AverageReturn              999.686
2021-04-08 11:55:28.131413 CEST | ExplainedVariance            0.999999
2021-04-08 11:55:28.131615 CEST | NumTrajs                     4
2021-04-08 11:55:28.131817 CEST | Entropy                      1.30097
2021-04-08 11:55:28.132075 CEST | Perplexity                   3.67287
2021-04-08 11:55:28.132281 CEST | StdReturn                    0.100362
2021-04-08 11:55:28.132506 CEST | MaxReturn                  999.832
2021-04-08 11:55:28.132718 CEST | MinReturn                  999.548
2021-04-08 11:55:28.132936 CEST | Iteration                   28
2021-04-08 11:55:28.133112 CEST | AverageDiscountedReturn    633.76
2021-04-08 11:55:28.133286 CEST | AverageReturn              999.666
2021-04-08 11:55:28.133458 CEST | ExplainedVariance            0.999999
2021-04-08 11:55:28.133633 CEST | NumTrajs                     4
2021-04-08 11:55:28.133811 CEST | Entropy                      1.30097
2021-04-08 11:55:28.133984 CEST | Perplexity                   3.67287
2021-04-08 11:55:28.134162 CEST | StdReturn                    0.141812
2021-04-08 11:55:28.134342 CEST | MaxReturn                  999.859
2021-04-08 11:55:28.134508 CEST | MinReturn                  999.459
2021-04-08 11:55:28.134686 CEST | Iteration                   28
2021-04-08 11:55:28.134864 CEST | AverageDiscountedReturn    633.753
2021-04-08 11:55:28.135042 CEST | AverageReturn              999.67
2021-04-08 11:55:28.135240 CEST | ExplainedVariance            0.999999
2021-04-08 11:55:28.135416 CEST | NumTrajs                     4
2021-04-08 11:55:28.135587 CEST | Entropy                      1.30097
2021-04-08 11:55:28.135765 CEST | Perplexity                   3.67287
2021-04-08 11:55:28.135944 CEST | StdReturn                    0.0352636
2021-04-08 11:55:28.136118 CEST | MaxReturn                  999.729
2021-04-08 11:55:28.136303 CEST | MinReturn                  999.636
2021-04-08 11:55:28.136479 CEST | Iteration                   28
2021-04-08 11:55:28.136664 CEST | AverageDiscountedReturn    480.418
2021-04-08 11:55:28.136833 CEST | AverageReturn              729.757
2021-04-08 11:55:28.137014 CEST | ExplainedVariance            0.416471
2021-04-08 11:55:28.137196 CEST | NumTrajs                     6
2021-04-08 11:55:28.137371 CEST | Entropy                      1.30097
2021-04-08 11:55:28.137559 CEST | Perplexity                   3.67287
2021-04-08 11:55:28.137726 CEST | StdReturn                  381.803
2021-04-08 11:55:28.137895 CEST | MaxReturn                  999.844
2021-04-08 11:55:28.138069 CEST | MinReturn                  179.887
2021-04-08 11:55:28.138245 CEST | Iteration                   28
2021-04-08 11:55:28.138414 CEST | AverageDiscountedReturn    633.7
2021-04-08 11:55:28.138596 CEST | AverageReturn              999.602
2021-04-08 11:55:28.138838 CEST | ExplainedVariance            0.61698
2021-04-08 11:55:28.139060 CEST | NumTrajs                     4
2021-04-08 11:55:28.139267 CEST | Entropy                      1.30097
2021-04-08 11:55:28.139443 CEST | Perplexity                   3.67287
2021-04-08 11:55:28.139618 CEST | StdReturn                    0.0648728
2021-04-08 11:55:28.139799 CEST | MaxReturn                  999.675
2021-04-08 11:55:28.139967 CEST | MinReturn                  999.498
2021-04-08 11:55:28.140145 CEST | AveragePolicyStd             0.888726
2021-04-08 11:55:28.140317 CEST | AveragePolicyStd             0.888726
2021-04-08 11:55:28.140485 CEST | AveragePolicyStd             0.888726
2021-04-08 11:55:28.140661 CEST | AveragePolicyStd             0.888726
2021-04-08 11:55:28.140829 CEST | AveragePolicyStd             0.888726
2021-04-08 11:55:28.141000 CEST | AveragePolicyStd             0.888726
2021-04-08 11:55:28.141170 CEST | AveragePolicyStd             0.888726
2021-04-08 11:55:28.141344 CEST | AveragePolicyStd             0.888726
2021-04-08 11:55:28.141515 CEST | AveragePolicyStd             0.888726
2021-04-08 11:55:28.141683 CEST | AveragePolicyStd             0.888726
2021-04-08 11:55:28.141851 CEST | Iteration                   29
2021-04-08 11:55:28.142030 CEST | AverageDiscountedReturn    633.811
2021-04-08 11:55:28.142183 CEST | AverageReturn              999.751
2021-04-08 11:55:28.142327 CEST | ExplainedVariance            0.999999
2021-04-08 11:55:28.142472 CEST | NumTrajs                     4
2021-04-08 11:55:28.142639 CEST | Entropy                      1.29558
2021-04-08 11:55:28.142786 CEST | Perplexity                   3.65311
2021-04-08 11:55:28.142931 CEST | StdReturn                    0.0588726
2021-04-08 11:55:28.143080 CEST | MaxReturn                  999.825
2021-04-08 11:55:28.143244 CEST | MinReturn                  999.662
