2021-04-09 09:47:12.017893 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.018180 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.018325 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.018457 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.018590 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.018719 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.018850 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.018975 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.019102 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.019222 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.019346 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.019469 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.019593 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.019717 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.019841 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.019965 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.020089 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.020214 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:47:12.020340 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populating workers...
2021-04-09 09:47:12.020460 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] Populated
2021-04-09 09:48:05.475706 CEST | StdReturn                     0.186819
2021-04-09 09:48:05.475861 CEST | MaxReturn                   999.794
2021-04-09 09:48:05.476004 CEST | MinReturn                   999.353
2021-04-09 09:48:05.476145 CEST | Iteration                    29
2021-04-09 09:48:05.476289 CEST | AverageDiscountedReturn     633.751
2021-04-09 09:48:05.476430 CEST | AverageReturn               999.662
2021-04-09 09:48:05.476570 CEST | ExplainedVariance             0.999999
2021-04-09 09:48:05.476718 CEST | NumTrajs                      4
2021-04-09 09:48:05.476866 CEST | Entropy                       1.21951
2021-04-09 09:48:05.477016 CEST | Perplexity                    3.38554
2021-04-09 09:48:05.477158 CEST | StdReturn                     0.0825628
2021-04-09 09:48:05.477305 CEST | MaxReturn                   999.776
2021-04-09 09:48:05.477448 CEST | MinReturn                   999.548
2021-04-09 09:48:05.477588 CEST | Iteration                    29
2021-04-09 09:48:05.477742 CEST | AverageDiscountedReturn     633.801
2021-04-09 09:48:05.477900 CEST | AverageReturn               999.733
2021-04-09 09:48:05.478045 CEST | ExplainedVariance             0.999999
2021-04-09 09:48:05.478188 CEST | NumTrajs                      4
2021-04-09 09:48:05.478335 CEST | Entropy                       1.21951
2021-04-09 09:48:05.478477 CEST | Perplexity                    3.38554
2021-04-09 09:48:05.478618 CEST | StdReturn                     0.0857563
2021-04-09 09:48:05.478761 CEST | MaxReturn                   999.828
2021-04-09 09:48:05.478904 CEST | MinReturn                   999.597
2021-04-09 09:48:05.479046 CEST | Iteration                    29
2021-04-09 09:48:05.479190 CEST | AverageDiscountedReturn     633.721
2021-04-09 09:48:05.479336 CEST | AverageReturn               999.625
2021-04-09 09:48:05.479477 CEST | ExplainedVariance             0.999999
2021-04-09 09:48:05.479617 CEST | NumTrajs                      4
2021-04-09 09:48:05.479766 CEST | Entropy                       1.21951
2021-04-09 09:48:05.479908 CEST | Perplexity                    3.38554
2021-04-09 09:48:05.480057 CEST | StdReturn                     0.149738
2021-04-09 09:48:05.480199 CEST | MaxReturn                   999.8
2021-04-09 09:48:05.480346 CEST | MinReturn                   999.43
2021-04-09 09:48:05.480492 CEST | Iteration                    29
2021-04-09 09:48:05.480640 CEST | AverageDiscountedReturn     633.711
2021-04-09 09:48:05.480781 CEST | AverageReturn               999.589
2021-04-09 09:48:05.480928 CEST | ExplainedVariance             0.999999
2021-04-09 09:48:05.481076 CEST | NumTrajs                      4
2021-04-09 09:48:05.481219 CEST | Entropy                       1.21951
2021-04-09 09:48:05.481363 CEST | Perplexity                    3.38554
2021-04-09 09:48:05.481506 CEST | StdReturn                     0.21563
2021-04-09 09:48:05.481654 CEST | MaxReturn                   999.82
2021-04-09 09:48:05.481797 CEST | MinReturn                   999.295
2021-04-09 09:48:05.481975 CEST | Iteration                    29
2021-04-09 09:48:05.482124 CEST | AverageDiscountedReturn     611.79
2021-04-09 09:48:05.482265 CEST | AverageReturn               947.526
2021-04-09 09:48:05.482407 CEST | ExplainedVariance             0.884181
2021-04-09 09:48:05.482549 CEST | NumTrajs                      5
2021-04-09 09:48:05.482773 CEST | Entropy                       1.21951
2021-04-09 09:48:05.482968 CEST | Perplexity                    3.38554
2021-04-09 09:48:05.483162 CEST | StdReturn                   103.995
2021-04-09 09:48:05.483354 CEST | MaxReturn                   999.776
2021-04-09 09:48:05.483541 CEST | MinReturn                   739.537
2021-04-09 09:48:05.483754 CEST | AveragePolicyStd              0.819201
2021-04-09 09:48:05.483945 CEST | AveragePolicyStd              0.819201
2021-04-09 09:48:05.484149 CEST | AveragePolicyStd              0.819201
2021-04-09 09:48:05.484388 CEST | AveragePolicyStd              0.819201
2021-04-09 09:48:05.484595 CEST | AveragePolicyStd              0.819201
2021-04-09 09:48:05.484778 CEST | AveragePolicyStd              0.819201
2021-04-09 09:48:05.484967 CEST | AveragePolicyStd              0.819201
2021-04-09 09:48:05.485133 CEST | AveragePolicyStd              0.819201
2021-04-09 09:48:05.485296 CEST | AveragePolicyStd              0.819201
2021-04-09 09:48:05.485479 CEST | AveragePolicyStd              0.819201
2021-04-09 09:48:05.485632 CEST | Iteration                    30
2021-04-09 09:48:05.485800 CEST | AverageDiscountedReturn     422.529
2021-04-09 09:48:05.486003 CEST | AverageReturn               666.48
2021-04-09 09:48:05.486195 CEST | ExplainedVariance             0.92589
2021-04-09 09:48:05.486379 CEST | NumTrajs                      6
2021-04-09 09:48:05.486599 CEST | Entropy                       1.21969
2021-04-09 09:48:05.486795 CEST | Perplexity                    3.38614
2021-04-09 09:48:05.486941 CEST | StdReturn                   471.273
2021-04-09 09:48:05.487083 CEST | MaxReturn                   999.833
2021-04-09 09:48:05.487226 CEST | MinReturn                     0
2021-04-09 09:48:05.487392 CEST | Iteration                    30
2021-04-09 09:48:05.487573 CEST | AverageDiscountedReturn     548.267
2021-04-09 09:48:05.487729 CEST | AverageReturn               845.72
2021-04-09 09:48:05.487951 CEST | ExplainedVariance             0.62888
2021-04-09 09:48:05.488138 CEST | NumTrajs                      5
2021-04-09 09:48:05.488281 CEST | Entropy                       1.21969
2021-04-09 09:48:05.488419 CEST | Perplexity                    3.38614
2021-04-09 09:48:05.488561 CEST | StdReturn                   307.977
2021-04-09 09:48:05.488697 CEST | MaxReturn                   999.826
2021-04-09 09:48:05.488834 CEST | MinReturn                   229.766
2021-04-09 09:48:05.488971 CEST | Iteration                    30
2021-04-09 09:48:05.489109 CEST | AverageDiscountedReturn     633.775
2021-04-09 09:48:05.489249 CEST | AverageReturn               999.694
2021-04-09 09:48:05.489385 CEST | ExplainedVariance             0.849143
2021-04-09 09:48:05.489518 CEST | NumTrajs                      4
2021-04-09 09:48:05.489649 CEST | Entropy                       1.21969
2021-04-09 09:48:05.489788 CEST | Perplexity                    3.38614
2021-04-09 09:48:05.489961 CEST | StdReturn                     0.0359008
2021-04-09 09:48:05.490099 CEST | MaxReturn                   999.732
2021-04-09 09:48:05.490237 CEST | MinReturn                   999.658
2021-04-09 09:48:05.490376 CEST | Iteration                    30
2021-04-09 09:48:05.490509 CEST | AverageDiscountedReturn     633.688
2021-04-09 09:48:05.490646 CEST | AverageReturn               999.547
2021-04-09 09:48:05.490806 CEST | ExplainedVariance             0.999999
2021-04-09 09:48:05.490970 CEST | NumTrajs                      4
2021-04-09 09:48:05.491114 CEST | Entropy                       1.21969
2021-04-09 09:48:05.491251 CEST | Perplexity                    3.38614
2021-04-09 09:48:05.491388 CEST | StdReturn                     0.141805
2021-04-09 09:48:05.491525 CEST | MaxReturn                   999.696
2021-04-09 09:48:05.491665 CEST | MinReturn                   999.353
2021-04-09 09:48:05.491806 CEST | Iteration                    30
2021-04-09 09:48:05.491946 CEST | AverageDiscountedReturn     633.71
2021-04-09 09:48:05.492082 CEST | AverageReturn               999.589
2021-04-09 09:48:05.492219 CEST | ExplainedVariance             0.999999
2021-04-09 09:48:05.492357 CEST | NumTrajs                      4
2021-04-09 09:48:05.492496 CEST | Entropy                       1.21969
2021-04-09 09:48:05.492634 CEST | Perplexity                    3.38614
2021-04-09 09:48:05.492770 CEST | StdReturn                     0.207297
2021-04-09 09:48:05.492908 CEST | MaxReturn                   999.777
2021-04-09 09:48:05.493053 CEST | MinReturn                   999.254
2021-04-09 09:48:05.493189 CEST | Iteration                    30
2021-04-09 09:48:05.493328 CEST | AverageDiscountedReturn     633.706
2021-04-09 09:48:05.493462 CEST | AverageReturn               999.606
2021-04-09 09:48:05.493601 CEST | ExplainedVariance             0.999999
2021-04-09 09:48:05.493735 CEST | NumTrajs                      4
2021-04-09 09:48:05.493887 CEST | Entropy                       1.21969
2021-04-09 09:48:05.494028 CEST | Perplexity                    3.38614
2021-04-09 09:48:05.494166 CEST | StdReturn                     0.10153
2021-04-09 09:48:05.494319 CEST | MaxReturn                   999.732
2021-04-09 09:48:05.494475 CEST | MinReturn                   999.454
2021-04-09 09:48:05.494613 CEST | Iteration                    30
2021-04-09 09:48:05.494746 CEST | AverageDiscountedReturn     633.819
2021-04-09 09:48:05.494883 CEST | AverageReturn               999.751
2021-04-09 09:48:05.495019 CEST | ExplainedVariance             0.999999
2021-04-09 09:48:05.495159 CEST | NumTrajs                      4
2021-04-09 09:48:05.495296 CEST | Entropy                       1.21969
2021-04-09 09:48:05.495434 CEST | Perplexity                    3.38614
2021-04-09 09:48:05.495570 CEST | StdReturn                     0.0441003
2021-04-09 09:48:05.495709 CEST | MaxReturn                   999.817
2021-04-09 09:48:05.495852 CEST | MinReturn                   999.695
2021-04-09 09:48:05.495997 CEST | Iteration                    30
2021-04-09 09:48:05.496144 CEST | AverageDiscountedReturn     633.753
2021-04-09 09:48:05.496285 CEST | AverageReturn               999.656
2021-04-09 09:48:05.496428 CEST | ExplainedVariance             0.999999
2021-04-09 09:48:05.496575 CEST | NumTrajs                      4
2021-04-09 09:48:05.496765 CEST | Entropy                       1.21969
2021-04-09 09:48:05.496931 CEST | Perplexity                    3.38614
2021-04-09 09:48:05.497093 CEST | StdReturn                     0.13113
2021-04-09 09:48:05.497251 CEST | MaxReturn                   999.81
2021-04-09 09:48:05.497411 CEST | MinReturn                   999.447
2021-04-09 09:48:05.497564 CEST | Iteration                    30
2021-04-09 09:48:05.497771 CEST | AverageDiscountedReturn     507.029
2021-04-09 09:48:05.497951 CEST | AverageReturn               799.753
2021-04-09 09:48:05.498100 CEST | ExplainedVariance             0.969558
2021-04-09 09:48:05.498250 CEST | NumTrajs                      5
2021-04-09 09:48:05.498391 CEST | Entropy                       1.21969
2021-04-09 09:48:05.498533 CEST | Perplexity                    3.38614
2021-04-09 09:48:05.498684 CEST | StdReturn                   399.876
2021-04-09 09:48:05.498834 CEST | MaxReturn                   999.825
2021-04-09 09:48:05.498977 CEST | MinReturn                     0
2021-04-09 09:48:05.499118 CEST | Iteration                    30
2021-04-09 09:48:05.499261 CEST | AverageDiscountedReturn     601.819
2021-04-09 09:48:05.499410 CEST | AverageReturn               927.651
2021-04-09 09:48:05.499557 CEST | ExplainedVariance             0.844662
2021-04-09 09:48:05.499710 CEST | NumTrajs                      5
2021-04-09 09:48:05.499854 CEST | Entropy                       1.21969
2021-04-09 09:48:05.500002 CEST | Perplexity                    3.38614
2021-04-09 09:48:05.500154 CEST | StdReturn                   144.079
2021-04-09 09:48:05.500302 CEST | MaxReturn                   999.798
2021-04-09 09:48:05.500444 CEST | MinReturn                   639.494
2021-04-09 09:48:05.500590 CEST | AveragePolicyStd              0.819348
2021-04-09 09:48:05.500743 CEST | AveragePolicyStd              0.819348
2021-04-09 09:48:05.500894 CEST | AveragePolicyStd              0.819348
2021-04-09 09:48:05.501038 CEST | AveragePolicyStd              0.819348
2021-04-09 09:48:05.501182 CEST | AveragePolicyStd              0.819348
2021-04-09 09:48:05.501326 CEST | AveragePolicyStd              0.819348
2021-04-09 09:48:05.501469 CEST | AveragePolicyStd              0.819348
2021-04-09 09:48:05.501612 CEST | AveragePolicyStd              0.819348
2021-04-09 09:48:05.501762 CEST | AveragePolicyStd              0.819348
2021-04-09 09:48:05.501939 CEST | AveragePolicyStd              0.819348
2021-04-09 09:48:05.502085 CEST | TransfBits               302880
2021-04-09 09:48:05.502230 CEST | TotalAverageReturn          578.457
2021-04-09 09:48:05.502372 CEST | -----------------------  --------------
2021-04-09 09:48:06.974660 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #31 | fitting baseline...
2021-04-09 09:48:06.975342 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #31 | fitted
2021-04-09 09:48:06.976515 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #31 | fitting baseline...
2021-04-09 09:48:06.977019 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #31 | fitted
2021-04-09 09:48:06.978024 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #31 | fitting baseline...
2021-04-09 09:48:06.978501 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #31 | fitted
2021-04-09 09:48:06.979547 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #31 | fitting baseline...
2021-04-09 09:48:06.980101 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #31 | fitted
2021-04-09 09:48:06.981236 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #31 | fitting baseline...
2021-04-09 09:48:06.982002 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #31 | fitted
2021-04-09 09:48:06.983018 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #31 | fitting baseline...
2021-04-09 09:48:06.983543 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #31 | fitted
2021-04-09 09:48:06.984614 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #31 | fitting baseline...
2021-04-09 09:48:06.985255 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #31 | fitted
2021-04-09 09:48:06.986441 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #31 | fitting baseline...
2021-04-09 09:48:06.986949 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #31 | fitted
2021-04-09 09:48:06.987886 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #31 | fitting baseline...
2021-04-09 09:48:06.988348 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #31 | fitted
2021-04-09 09:48:06.989390 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #31 | fitting baseline...
2021-04-09 09:48:06.989889 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #31 | fitted
2021-04-09 09:48:08.434666 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #32 | fitting baseline...
2021-04-09 09:48:08.435257 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #32 | fitted
2021-04-09 09:48:08.436165 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #32 | fitting baseline...
2021-04-09 09:48:08.436619 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #32 | fitted
2021-04-09 09:48:08.437428 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #32 | fitting baseline...
2021-04-09 09:48:08.437932 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #32 | fitted
2021-04-09 09:48:08.439010 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #32 | fitting baseline...
2021-04-09 09:48:08.439540 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #32 | fitted
2021-04-09 09:48:08.440505 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #32 | fitting baseline...
2021-04-09 09:48:08.440983 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #32 | fitted
2021-04-09 09:48:08.441930 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #32 | fitting baseline...
2021-04-09 09:48:08.442400 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #32 | fitted
2021-04-09 09:48:08.443310 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #32 | fitting baseline...
2021-04-09 09:48:08.443764 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #32 | fitted
2021-04-09 09:48:08.444671 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #32 | fitting baseline...
2021-04-09 09:48:08.445144 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #32 | fitted
2021-04-09 09:48:08.446153 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #32 | fitting baseline...
2021-04-09 09:48:08.446668 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #32 | fitted
2021-04-09 09:48:08.447613 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #32 | fitting baseline...
2021-04-09 09:48:08.448106 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #32 | fitted
2021-04-09 09:48:09.855778 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #33 | fitting baseline...
2021-04-09 09:48:09.856330 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #33 | fitted
2021-04-09 09:48:09.857263 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #33 | fitting baseline...
2021-04-09 09:48:09.857745 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #33 | fitted
2021-04-09 09:48:09.858646 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #33 | fitting baseline...
2021-04-09 09:48:09.859073 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #33 | fitted
2021-04-09 09:48:09.859941 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #33 | fitting baseline...
2021-04-09 09:48:09.860377 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #33 | fitted
2021-04-09 09:48:09.861154 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #33 | fitting baseline...
2021-04-09 09:48:09.861566 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #33 | fitted
2021-04-09 09:48:09.862468 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #33 | fitting baseline...
2021-04-09 09:48:09.862889 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #33 | fitted
2021-04-09 09:48:09.863816 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #33 | fitting baseline...
2021-04-09 09:48:09.864264 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #33 | fitted
2021-04-09 09:48:09.865173 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #33 | fitting baseline...
2021-04-09 09:48:09.865580 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #33 | fitted
2021-04-09 09:48:09.866399 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #33 | fitting baseline...
2021-04-09 09:48:09.866840 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #33 | fitted
2021-04-09 09:48:09.867674 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #33 | fitting baseline...
2021-04-09 09:48:09.868154 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #33 | fitted
2021-04-09 09:48:11.304356 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #34 | fitting baseline...
2021-04-09 09:48:11.304947 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #34 | fitted
2021-04-09 09:48:11.305919 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #34 | fitting baseline...
2021-04-09 09:48:11.306356 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #34 | fitted
2021-04-09 09:48:11.307145 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #34 | fitting baseline...
2021-04-09 09:48:11.307544 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #34 | fitted
2021-04-09 09:48:11.308312 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #34 | fitting baseline...
2021-04-09 09:48:11.308690 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #34 | fitted
2021-04-09 09:48:11.309449 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #34 | fitting baseline...
2021-04-09 09:48:11.309833 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #34 | fitted
2021-04-09 09:48:11.310642 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #34 | fitting baseline...
2021-04-09 09:48:11.311015 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #34 | fitted
2021-04-09 09:48:11.311863 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #34 | fitting baseline...
2021-04-09 09:48:11.312296 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #34 | fitted
2021-04-09 09:48:11.313050 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #34 | fitting baseline...
2021-04-09 09:48:11.313418 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #34 | fitted
2021-04-09 09:48:11.314276 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #34 | fitting baseline...
2021-04-09 09:48:11.314725 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #34 | fitted
2021-04-09 09:48:11.315601 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #34 | fitting baseline...
2021-04-09 09:48:11.316053 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #34 | fitted
2021-04-09 09:48:12.767478 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #35 | fitting baseline...
2021-04-09 09:48:12.768107 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #35 | fitted
2021-04-09 09:48:12.769078 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #35 | fitting baseline...
2021-04-09 09:48:12.769603 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #35 | fitted
2021-04-09 09:48:12.770488 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #35 | fitting baseline...
2021-04-09 09:48:12.770936 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #35 | fitted
2021-04-09 09:48:12.771855 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #35 | fitting baseline...
2021-04-09 09:48:12.772339 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #35 | fitted
2021-04-09 09:48:12.773433 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #35 | fitting baseline...
2021-04-09 09:48:12.773993 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #35 | fitted
2021-04-09 09:48:12.774920 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #35 | fitting baseline...
2021-04-09 09:48:12.775395 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #35 | fitted
2021-04-09 09:48:12.776284 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #35 | fitting baseline...
2021-04-09 09:48:12.776811 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #35 | fitted
2021-04-09 09:48:12.777992 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #35 | fitting baseline...
2021-04-09 09:48:12.778602 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #35 | fitted
2021-04-09 09:48:12.779576 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #35 | fitting baseline...
2021-04-09 09:48:12.780111 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #35 | fitted
2021-04-09 09:48:12.781076 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #35 | fitting baseline...
2021-04-09 09:48:12.781620 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #35 | fitted
2021-04-09 09:48:12.813976 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #35 | saving snapshot...
2021-04-09 09:48:12.819521 CEST | [multi_agent_per_av_returns_part_bits_2021_04_09_09_41_13_0005] itr #35 | saved
2021-04-09 09:48:12.838698 CEST | -----------------------  --------------
2021-04-09 09:48:12.838904 CEST | Iteration                    31
2021-04-09 09:48:12.839028 CEST | AverageDiscountedReturn     633.621
2021-04-09 09:48:12.839145 CEST | AverageReturn               999.463
2021-04-09 09:48:12.839260 CEST | ExplainedVariance             0.891089
2021-04-09 09:48:12.839376 CEST | NumTrajs                      4
2021-04-09 09:48:12.839490 CEST | Entropy                       1.26546
2021-04-09 09:48:12.839605 CEST | Perplexity                    3.54474
2021-04-09 09:48:12.839731 CEST | StdReturn                     0.103841
2021-04-09 09:48:12.839887 CEST | MaxReturn                   999.564
