2021-04-08 16:01:16.246977 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.247283 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.247416 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.247539 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.247661 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.247788 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.247908 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.248029 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.248167 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.248293 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.248427 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.248559 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.248681 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.248797 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.248914 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.249030 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.249147 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.249274 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:01:16.249405 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populating workers...
2021-04-08 16:01:16.249531 CEST | [multi_agent_per_av_returns_part_bits_quant_2021_04_08_15_53_34_0006] Populated
2021-04-08 16:02:11.276342 CEST | MaxReturn                   999.864
2021-04-08 16:02:11.276476 CEST | MinReturn                     9.98167
2021-04-08 16:02:11.276609 CEST | Iteration                    26
2021-04-08 16:02:11.276736 CEST | AverageDiscountedReturn     433.232
2021-04-08 16:02:11.276875 CEST | AverageReturn               595.539
2021-04-08 16:02:11.277000 CEST | ExplainedVariance             0.314982
2021-04-08 16:02:11.277136 CEST | NumTrajs                      7
2021-04-08 16:02:11.277269 CEST | Entropy                       1.40464
2021-04-08 16:02:11.277402 CEST | Perplexity                    4.07406
2021-04-08 16:02:11.277530 CEST | StdReturn                   257.351
2021-04-08 16:02:11.277666 CEST | MaxReturn                   999.843
2021-04-08 16:02:11.277795 CEST | MinReturn                   379.845
2021-04-08 16:02:11.277925 CEST | Iteration                    26
2021-04-08 16:02:11.278064 CEST | AverageDiscountedReturn     501.984
2021-04-08 16:02:11.278195 CEST | AverageReturn               723.118
2021-04-08 16:02:11.278322 CEST | ExplainedVariance             0.536753
2021-04-08 16:02:11.278456 CEST | NumTrajs                      6
2021-04-08 16:02:11.278591 CEST | Entropy                       1.40464
2021-04-08 16:02:11.278720 CEST | Perplexity                    4.07406
2021-04-08 16:02:11.278853 CEST | StdReturn                   236.113
2021-04-08 16:02:11.278981 CEST | MaxReturn                   999.744
2021-04-08 16:02:11.279127 CEST | MinReturn                   279.793
2021-04-08 16:02:11.279266 CEST | Iteration                    26
2021-04-08 16:02:11.279390 CEST | AverageDiscountedReturn     429.598
2021-04-08 16:02:11.279522 CEST | AverageReturn               604.067
2021-04-08 16:02:11.279652 CEST | ExplainedVariance             0.00947796
2021-04-08 16:02:11.279778 CEST | NumTrajs                      7
2021-04-08 16:02:11.279904 CEST | Entropy                       1.40464
2021-04-08 16:02:11.280030 CEST | Perplexity                    4.07406
2021-04-08 16:02:11.280158 CEST | StdReturn                   305.293
2021-04-08 16:02:11.280292 CEST | MaxReturn                   999.858
2021-04-08 16:02:11.280423 CEST | MinReturn                   249.741
2021-04-08 16:02:11.280549 CEST | Iteration                    26
2021-04-08 16:02:11.280677 CEST | AverageDiscountedReturn     321.527
2021-04-08 16:02:11.280807 CEST | AverageReturn               448.698
2021-04-08 16:02:11.280935 CEST | ExplainedVariance             0.207894
2021-04-08 16:02:11.281067 CEST | NumTrajs                      9
2021-04-08 16:02:11.281196 CEST | Entropy                       1.40464
2021-04-08 16:02:11.281326 CEST | Perplexity                    4.07406
2021-04-08 16:02:11.281456 CEST | StdReturn                   368.606
2021-04-08 16:02:11.281586 CEST | MaxReturn                   999.861
2021-04-08 16:02:11.281726 CEST | MinReturn                     0
2021-04-08 16:02:11.281868 CEST | Iteration                    26
2021-04-08 16:02:11.282008 CEST | AverageDiscountedReturn     446.128
2021-04-08 16:02:11.282148 CEST | AverageReturn               622.667
2021-04-08 16:02:11.282286 CEST | ExplainedVariance             0.157191
2021-04-08 16:02:11.282408 CEST | NumTrajs                      7
2021-04-08 16:02:11.282540 CEST | Entropy                       1.40464
2021-04-08 16:02:11.282673 CEST | Perplexity                    4.07406
2021-04-08 16:02:11.282802 CEST | StdReturn                   268.017
2021-04-08 16:02:11.282934 CEST | MaxReturn                   999.868
2021-04-08 16:02:11.283070 CEST | MinReturn                   299.779
2021-04-08 16:02:11.283248 CEST | Iteration                    26
2021-04-08 16:02:11.283380 CEST | AverageDiscountedReturn     359.571
2021-04-08 16:02:11.283517 CEST | AverageReturn               465.36
2021-04-08 16:02:11.283646 CEST | ExplainedVariance             0.301405
2021-04-08 16:02:11.283777 CEST | NumTrajs                      9
2021-04-08 16:02:11.283914 CEST | Entropy                       1.40464
2021-04-08 16:02:11.284046 CEST | Perplexity                    4.07406
2021-04-08 16:02:11.284171 CEST | StdReturn                   220.152
2021-04-08 16:02:11.284297 CEST | MaxReturn                   999.798
2021-04-08 16:02:11.284422 CEST | MinReturn                   269.801
2021-04-08 16:02:11.284553 CEST | Iteration                    26
2021-04-08 16:02:11.284689 CEST | AverageDiscountedReturn     416.411
2021-04-08 16:02:11.284824 CEST | AverageReturn               585.451
2021-04-08 16:02:11.284947 CEST | ExplainedVariance             0.474161
2021-04-08 16:02:11.285076 CEST | NumTrajs                      7
2021-04-08 16:02:11.285214 CEST | Entropy                       1.40464
2021-04-08 16:02:11.285371 CEST | Perplexity                    4.07406
2021-04-08 16:02:11.285518 CEST | StdReturn                   314.298
2021-04-08 16:02:11.285644 CEST | MaxReturn                   999.711
2021-04-08 16:02:11.285770 CEST | MinReturn                   139.841
2021-04-08 16:02:11.285895 CEST | AveragePolicyStd              0.985803
2021-04-08 16:02:11.286028 CEST | AveragePolicyStd              0.985803
2021-04-08 16:02:11.286159 CEST | AveragePolicyStd              0.985803
2021-04-08 16:02:11.286283 CEST | AveragePolicyStd              0.985803
2021-04-08 16:02:11.286409 CEST | AveragePolicyStd              0.985803
2021-04-08 16:02:11.286537 CEST | AveragePolicyStd              0.985803
2021-04-08 16:02:11.286672 CEST | AveragePolicyStd              0.985803
2021-04-08 16:02:11.286809 CEST | AveragePolicyStd              0.985803
2021-04-08 16:02:11.286943 CEST | AveragePolicyStd              0.985803
2021-04-08 16:02:11.287077 CEST | AveragePolicyStd              0.985803
2021-04-08 16:02:11.287224 CEST | Iteration                    27
2021-04-08 16:02:11.287353 CEST | AverageDiscountedReturn     547.674
2021-04-08 16:02:11.287488 CEST | AverageReturn               807.748
2021-04-08 16:02:11.287618 CEST | ExplainedVariance             0.577658
2021-04-08 16:02:11.287743 CEST | NumTrajs                      5
2021-04-08 16:02:11.287878 CEST | Entropy                       1.40509
2021-04-08 16:02:11.288013 CEST | Perplexity                    4.0759
2021-04-08 16:02:11.288144 CEST | StdReturn                   185.614
2021-04-08 16:02:11.288265 CEST | MaxReturn                   999.828
2021-04-08 16:02:11.288393 CEST | MinReturn                   469.761
2021-04-08 16:02:11.288516 CEST | Iteration                    27
2021-04-08 16:02:11.288642 CEST | AverageDiscountedReturn     568.545
2021-04-08 16:02:11.288766 CEST | AverageReturn               857.832
2021-04-08 16:02:11.288888 CEST | ExplainedVariance             0.665691
2021-04-08 16:02:11.289012 CEST | NumTrajs                      5
2021-04-08 16:02:11.289141 CEST | Entropy                       1.40509
2021-04-08 16:02:11.289271 CEST | Perplexity                    4.0759
2021-04-08 16:02:11.289400 CEST | StdReturn                   199.64
2021-04-08 16:02:11.289544 CEST | MaxReturn                   999.86
2021-04-08 16:02:11.289668 CEST | MinReturn                   489.846
2021-04-08 16:02:11.289792 CEST | Iteration                    27
2021-04-08 16:02:11.289919 CEST | AverageDiscountedReturn     399.406
2021-04-08 16:02:11.290046 CEST | AverageReturn               578.405
2021-04-08 16:02:11.290170 CEST | ExplainedVariance             0.425259
2021-04-08 16:02:11.290305 CEST | NumTrajs                      7
2021-04-08 16:02:11.290435 CEST | Entropy                       1.40509
2021-04-08 16:02:11.290567 CEST | Perplexity                    4.0759
2021-04-08 16:02:11.290703 CEST | StdReturn                   374.966
2021-04-08 16:02:11.290831 CEST | MaxReturn                   999.859
2021-04-08 16:02:11.290965 CEST | MinReturn                     9.98083
2021-04-08 16:02:11.291102 CEST | Iteration                    27
2021-04-08 16:02:11.291242 CEST | AverageDiscountedReturn     514.017
2021-04-08 16:02:11.291379 CEST | AverageReturn               768.114
2021-04-08 16:02:11.291511 CEST | ExplainedVariance             0.63016
2021-04-08 16:02:11.291641 CEST | NumTrajs                      6
2021-04-08 16:02:11.291769 CEST | Entropy                       1.40509
2021-04-08 16:02:11.291901 CEST | Perplexity                    4.0759
2021-04-08 16:02:11.292121 CEST | StdReturn                   300.003
2021-04-08 16:02:11.292251 CEST | MaxReturn                   999.876
2021-04-08 16:02:11.292379 CEST | MinReturn                   169.74
2021-04-08 16:02:11.292510 CEST | Iteration                    27
2021-04-08 16:02:11.292671 CEST | AverageDiscountedReturn     482.379
2021-04-08 16:02:11.292857 CEST | AverageReturn               683.135
2021-04-08 16:02:11.292983 CEST | ExplainedVariance             0.271152
2021-04-08 16:02:11.293148 CEST | NumTrajs                      6
2021-04-08 16:02:11.293274 CEST | Entropy                       1.40509
2021-04-08 16:02:11.293398 CEST | Perplexity                    4.0759
2021-04-08 16:02:11.293529 CEST | StdReturn                   239.779
2021-04-08 16:02:11.293657 CEST | MaxReturn                   999.856
2021-04-08 16:02:11.293792 CEST | MinReturn                   419.789
2021-04-08 16:02:11.293921 CEST | Iteration                    27
2021-04-08 16:02:11.294048 CEST | AverageDiscountedReturn     450.646
2021-04-08 16:02:11.294173 CEST | AverageReturn               618.367
2021-04-08 16:02:11.294312 CEST | ExplainedVariance             0.46584
2021-04-08 16:02:11.294449 CEST | NumTrajs                      7
2021-04-08 16:02:11.294579 CEST | Entropy                       1.40509
2021-04-08 16:02:11.294711 CEST | Perplexity                    4.0759
2021-04-08 16:02:11.294836 CEST | StdReturn                   215.443
2021-04-08 16:02:11.294967 CEST | MaxReturn                   999.866
2021-04-08 16:02:11.295116 CEST | MinReturn                   349.742
2021-04-08 16:02:11.295254 CEST | Iteration                    27
2021-04-08 16:02:11.295388 CEST | AverageDiscountedReturn     569.148
2021-04-08 16:02:11.295522 CEST | AverageReturn               873.808
2021-04-08 16:02:11.295680 CEST | ExplainedVariance             0.632192
2021-04-08 16:02:11.295805 CEST | NumTrajs                      5
2021-04-08 16:02:11.295938 CEST | Entropy                       1.40509
2021-04-08 16:02:11.296088 CEST | Perplexity                    4.0759
2021-04-08 16:02:11.296217 CEST | StdReturn                   252.034
2021-04-08 16:02:11.296348 CEST | MaxReturn                   999.854
2021-04-08 16:02:11.296476 CEST | MinReturn                   369.741
2021-04-08 16:02:11.296604 CEST | Iteration                    27
2021-04-08 16:02:11.296735 CEST | AverageDiscountedReturn     504.838
2021-04-08 16:02:11.296860 CEST | AverageReturn               736.454
2021-04-08 16:02:11.296989 CEST | ExplainedVariance            -0.228235
2021-04-08 16:02:11.297118 CEST | NumTrajs                      6
2021-04-08 16:02:11.297249 CEST | Entropy                       1.40509
2021-04-08 16:02:11.297394 CEST | Perplexity                    4.0759
2021-04-08 16:02:11.297610 CEST | StdReturn                   271.064
2021-04-08 16:02:11.297784 CEST | MaxReturn                   999.841
2021-04-08 16:02:11.298008 CEST | MinReturn                   389.827
2021-04-08 16:02:11.298234 CEST | Iteration                    27
2021-04-08 16:02:11.298369 CEST | AverageDiscountedReturn     550.23
2021-04-08 16:02:11.298500 CEST | AverageReturn               819.823
2021-04-08 16:02:11.298633 CEST | ExplainedVariance             0.665823
2021-04-08 16:02:11.298755 CEST | NumTrajs                      6
2021-04-08 16:02:11.298880 CEST | Entropy                       1.40509
2021-04-08 16:02:11.299005 CEST | Perplexity                    4.0759
2021-04-08 16:02:11.299164 CEST | StdReturn                   217.573
2021-04-08 16:02:11.299298 CEST | MaxReturn                   999.874
2021-04-08 16:02:11.299434 CEST | MinReturn                   479.84
2021-04-08 16:02:11.299558 CEST | Iteration                    27
2021-04-08 16:02:11.299685 CEST | AverageDiscountedReturn     459.799
2021-04-08 16:02:11.299814 CEST | AverageReturn               664.726
2021-04-08 16:02:11.299943 CEST | ExplainedVariance             0.197117
2021-04-08 16:02:11.300073 CEST | NumTrajs                      6
2021-04-08 16:02:11.300211 CEST | Entropy                       1.40509
2021-04-08 16:02:11.300335 CEST | Perplexity                    4.0759
2021-04-08 16:02:11.300471 CEST | StdReturn                   323.675
2021-04-08 16:02:11.300594 CEST | MaxReturn                   999.776
2021-04-08 16:02:11.300731 CEST | MinReturn                   309.674
2021-04-08 16:02:11.300936 CEST | AveragePolicyStd              0.986248
2021-04-08 16:02:11.301075 CEST | AveragePolicyStd              0.986248
2021-04-08 16:02:11.301204 CEST | AveragePolicyStd              0.986248
2021-04-08 16:02:11.301335 CEST | AveragePolicyStd              0.986248
2021-04-08 16:02:11.301463 CEST | AveragePolicyStd              0.986248
2021-04-08 16:02:11.301599 CEST | AveragePolicyStd              0.986248
2021-04-08 16:02:11.301728 CEST | AveragePolicyStd              0.986248
2021-04-08 16:02:11.301854 CEST | AveragePolicyStd              0.986248
2021-04-08 16:02:11.301983 CEST | AveragePolicyStd              0.986248
2021-04-08 16:02:11.302121 CEST | AveragePolicyStd              0.986248
2021-04-08 16:02:11.302254 CEST | Iteration                    28
2021-04-08 16:02:11.302380 CEST | AverageDiscountedReturn     546.472
2021-04-08 16:02:11.302511 CEST | AverageReturn               811.755
2021-04-08 16:02:11.302649 CEST | ExplainedVariance             0.730466
2021-04-08 16:02:11.302779 CEST | NumTrajs                      5
2021-04-08 16:02:11.302908 CEST | Entropy                       1.4039
2021-04-08 16:02:11.303045 CEST | Perplexity                    4.07106
2021-04-08 16:02:11.303205 CEST | StdReturn                   216.691
2021-04-08 16:02:11.303337 CEST | MaxReturn                   999.846
2021-04-08 16:02:11.303466 CEST | MinReturn                   429.738
2021-04-08 16:02:11.303588 CEST | Iteration                    28
2021-04-08 16:02:11.303721 CEST | AverageDiscountedReturn     519.272
2021-04-08 16:02:11.303850 CEST | AverageReturn               756.438
2021-04-08 16:02:11.303982 CEST | ExplainedVariance            -3.037
2021-04-08 16:02:11.304114 CEST | NumTrajs                      6
2021-04-08 16:02:11.304246 CEST | Entropy                       1.4039
2021-04-08 16:02:11.304373 CEST | Perplexity                    4.07106
2021-04-08 16:02:11.304508 CEST | StdReturn                   235
2021-04-08 16:02:11.304632 CEST | MaxReturn                   999.817
2021-04-08 16:02:11.304762 CEST | MinReturn                   479.7
2021-04-08 16:02:11.304888 CEST | Iteration                    28
2021-04-08 16:02:11.305015 CEST | AverageDiscountedReturn     548.82
2021-04-08 16:02:11.305148 CEST | AverageReturn               826.468
2021-04-08 16:02:11.305281 CEST | ExplainedVariance             0.676903
2021-04-08 16:02:11.305405 CEST | NumTrajs                      6
2021-04-08 16:02:11.305530 CEST | Entropy                       1.4039
2021-04-08 16:02:11.305691 CEST | Perplexity                    4.07106
2021-04-08 16:02:11.305826 CEST | StdReturn                   253.255
2021-04-08 16:02:11.305949 CEST | MaxReturn                   999.842
2021-04-08 16:02:11.306083 CEST | MinReturn                   369.732
2021-04-08 16:02:11.306218 CEST | Iteration                    28
2021-04-08 16:02:11.306341 CEST | AverageDiscountedReturn     633.861
2021-04-08 16:02:11.306470 CEST | AverageReturn               999.831
2021-04-08 16:02:11.306601 CEST | ExplainedVariance             0.95806
2021-04-08 16:02:11.306728 CEST | NumTrajs                      4
2021-04-08 16:02:11.306853 CEST | Entropy                       1.4039
2021-04-08 16:02:11.306978 CEST | Perplexity                    4.07106
2021-04-08 16:02:11.307127 CEST | StdReturn                     0.0240244
2021-04-08 16:02:11.307264 CEST | MaxReturn                   999.871
2021-04-08 16:02:11.307401 CEST | MinReturn                   999.808
2021-04-08 16:02:11.307529 CEST | Iteration                    28
2021-04-08 16:02:11.307657 CEST | AverageDiscountedReturn     633.86
2021-04-08 16:02:11.307783 CEST | AverageReturn               999.823
2021-04-08 16:02:11.307920 CEST | ExplainedVariance             0.999999
2021-04-08 16:02:11.308048 CEST | NumTrajs                      4
2021-04-08 16:02:11.308176 CEST | Entropy                       1.4039
2021-04-08 16:02:11.308298 CEST | Perplexity                    4.07106
2021-04-08 16:02:11.308432 CEST | StdReturn                     0.0332199
2021-04-08 16:02:11.308558 CEST | MaxReturn                   999.851
2021-04-08 16:02:11.308694 CEST | MinReturn                   999.766
2021-04-08 16:02:11.308828 CEST | Iteration                    28
2021-04-08 16:02:11.308952 CEST | AverageDiscountedReturn     445.926
2021-04-08 16:02:11.309086 CEST | AverageReturn               661.481
2021-04-08 16:02:11.309216 CEST | ExplainedVariance             0.361758
2021-04-08 16:02:11.309345 CEST | NumTrajs                      6
2021-04-08 16:02:11.309474 CEST | Entropy                       1.4039
2021-04-08 16:02:11.309602 CEST | Perplexity                    4.07106
2021-04-08 16:02:11.309724 CEST | StdReturn                   373.499
2021-04-08 16:02:11.309853 CEST | MaxReturn                   999.863
2021-04-08 16:02:11.309980 CEST | MinReturn                     9.98022
2021-04-08 16:02:11.310103 CEST | Iteration                    28
2021-04-08 16:02:11.310232 CEST | AverageDiscountedReturn     633.841
2021-04-08 16:02:11.310360 CEST | AverageReturn               999.803
2021-04-08 16:02:11.310495 CEST | ExplainedVariance             0.892052
2021-04-08 16:02:11.310622 CEST | NumTrajs                      4
2021-04-08 16:02:11.310750 CEST | Entropy                       1.4039
2021-04-08 16:02:11.310886 CEST | Perplexity                    4.07106
2021-04-08 16:02:11.311012 CEST | StdReturn                     0.0408417
2021-04-08 16:02:11.311183 CEST | MaxReturn                   999.848
2021-04-08 16:02:11.311309 CEST | MinReturn                   999.739
2021-04-08 16:02:11.311439 CEST | Iteration                    28
2021-04-08 16:02:11.311573 CEST | AverageDiscountedReturn     460.977
2021-04-08 16:02:11.311706 CEST | AverageReturn               688.129
2021-04-08 16:02:11.311833 CEST | ExplainedVariance             0.50347
2021-04-08 16:02:11.311957 CEST | NumTrajs                      6
2021-04-08 16:02:11.312085 CEST | Entropy                       1.4039
2021-04-08 16:02:11.312211 CEST | Perplexity                    4.07106
2021-04-08 16:02:11.312340 CEST | StdReturn                   365.434
2021-04-08 16:02:11.312471 CEST | MaxReturn                   999.772
2021-04-08 16:02:11.312595 CEST | MinReturn                     0
2021-04-08 16:02:11.312723 CEST | Iteration                    28
2021-04-08 16:02:11.312850 CEST | AverageDiscountedReturn     607.988
2021-04-08 16:02:11.312978 CEST | AverageReturn               937.745
2021-04-08 16:02:11.313113 CEST | ExplainedVariance             0.691976
2021-04-08 16:02:11.313251 CEST | NumTrajs                      5
2021-04-08 16:02:11.313389 CEST | Entropy                       1.4039
2021-04-08 16:02:11.313520 CEST | Perplexity                    4.07106
2021-04-08 16:02:11.313648 CEST | StdReturn                   105.172
2021-04-08 16:02:11.313773 CEST | MaxReturn                   999.846
2021-04-08 16:02:11.313899 CEST | MinReturn                   729.719
2021-04-08 16:02:11.314037 CEST | Iteration                    28
2021-04-08 16:02:11.314162 CEST | AverageDiscountedReturn     522.041
2021-04-08 16:02:11.314295 CEST | AverageReturn               814.807
2021-04-08 16:02:11.314426 CEST | ExplainedVariance             0.927403
2021-04-08 16:02:11.314550 CEST | NumTrajs                      6
2021-04-08 16:02:11.314675 CEST | Entropy                       1.4039
2021-04-08 16:02:11.314802 CEST | Perplexity                    4.07106
2021-04-08 16:02:11.314930 CEST | StdReturn                   362.592
2021-04-08 16:02:11.315057 CEST | MaxReturn                   999.857
2021-04-08 16:02:11.315217 CEST | MinReturn                     9.98169
2021-04-08 16:02:11.315344 CEST | AveragePolicyStd              0.985078
2021-04-08 16:02:11.315497 CEST | AveragePolicyStd              0.985078
2021-04-08 16:02:11.315629 CEST | AveragePolicyStd              0.985078
2021-04-08 16:02:11.315771 CEST | AveragePolicyStd              0.985078
2021-04-08 16:02:11.315900 CEST | AveragePolicyStd              0.985078
2021-04-08 16:02:11.316029 CEST | AveragePolicyStd              0.985078
2021-04-08 16:02:11.316151 CEST | AveragePolicyStd              0.985078
2021-04-08 16:02:11.316278 CEST | AveragePolicyStd              0.985078
2021-04-08 16:02:11.316403 CEST | AveragePolicyStd              0.985078
2021-04-08 16:02:11.316537 CEST | AveragePolicyStd              0.985078
2021-04-08 16:02:11.316670 CEST | Iteration                    29
2021-04-08 16:02:11.316800 CEST | AverageDiscountedReturn     535.608
2021-04-08 16:02:11.316923 CEST | AverageReturn               786.436
2021-04-08 16:02:11.317060 CEST | ExplainedVariance             0.580361
2021-04-08 16:02:11.317187 CEST | NumTrajs                      6
2021-04-08 16:02:11.317311 CEST | Entropy                       1.40238
2021-04-08 16:02:11.317444 CEST | Perplexity                    4.06485
2021-04-08 16:02:11.317570 CEST | StdReturn                   215.061
2021-04-08 16:02:11.317699 CEST | MaxReturn                   999.864
2021-04-08 16:02:11.317825 CEST | MinReturn                   519.684
2021-04-08 16:02:11.317944 CEST | Iteration                    29
2021-04-08 16:02:11.318074 CEST | AverageDiscountedReturn     633.803
2021-04-08 16:02:11.318191 CEST | AverageReturn               999.75
2021-04-08 16:02:11.318311 CEST | ExplainedVariance             0.869743
2021-04-08 16:02:11.318446 CEST | NumTrajs                      4
2021-04-08 16:02:11.318577 CEST | Entropy                       1.40238
2021-04-08 16:02:11.318698 CEST | Perplexity                    4.06485
2021-04-08 16:02:11.318833 CEST | StdReturn                     0.0807761
2021-04-08 16:02:11.318955 CEST | MaxReturn                   999.867
2021-04-08 16:02:11.319075 CEST | MinReturn                   999.674
2021-04-08 16:02:11.319221 CEST | Iteration                    29
2021-04-08 16:02:11.319341 CEST | AverageDiscountedReturn     633.84
2021-04-08 16:02:11.319465 CEST | AverageReturn               999.802
2021-04-08 16:02:11.319590 CEST | ExplainedVariance             0.999999
2021-04-08 16:02:11.319712 CEST | NumTrajs                      4
2021-04-08 16:02:11.319840 CEST | Entropy                       1.40238
2021-04-08 16:02:11.319973 CEST | Perplexity                    4.06485
2021-04-08 16:02:11.320097 CEST | StdReturn                     0.0248024
2021-04-08 16:02:11.320224 CEST | MaxReturn                   999.824
2021-04-08 16:02:11.320353 CEST | MinReturn                   999.76
2021-04-08 16:02:11.320483 CEST | Iteration                    29
2021-04-08 16:02:11.320606 CEST | AverageDiscountedReturn     505.034
2021-04-08 16:02:11.320753 CEST | AverageReturn               779.796
2021-04-08 16:02:11.320880 CEST | ExplainedVariance             0.814725
2021-04-08 16:02:11.321009 CEST | NumTrajs                      6
2021-04-08 16:02:11.321138 CEST | Entropy                       1.40238
2021-04-08 16:02:11.321265 CEST | Perplexity                    4.06485
2021-04-08 16:02:11.321386 CEST | StdReturn                   367.785
2021-04-08 16:02:11.321514 CEST | MaxReturn                   999.83
2021-04-08 16:02:11.321642 CEST | MinReturn                     0
2021-04-08 16:02:11.321769 CEST | Iteration                    29
2021-04-08 16:02:11.321890 CEST | AverageDiscountedReturn     601.864
2021-04-08 16:02:11.322012 CEST | AverageReturn               927.718
2021-04-08 16:02:11.322139 CEST | ExplainedVariance             0.836718
2021-04-08 16:02:11.322272 CEST | NumTrajs                      5
2021-04-08 16:02:11.322405 CEST | Entropy                       1.40238
2021-04-08 16:02:11.322526 CEST | Perplexity                    4.06485
2021-04-08 16:02:11.322651 CEST | StdReturn                   143.951
2021-04-08 16:02:11.322777 CEST | MaxReturn                   999.835
2021-04-08 16:02:11.322906 CEST | MinReturn                   639.816
2021-04-08 16:02:11.323035 CEST | Iteration                    29
2021-04-08 16:02:11.323206 CEST | AverageDiscountedReturn     612.909
2021-04-08 16:02:11.323340 CEST | AverageReturn               949.77
2021-04-08 16:02:11.323469 CEST | ExplainedVariance             0.932477
2021-04-08 16:02:11.323595 CEST | NumTrajs                      5
2021-04-08 16:02:11.323719 CEST | Entropy                       1.40238
2021-04-08 16:02:11.323846 CEST | Perplexity                    4.06485
2021-04-08 16:02:11.323975 CEST | StdReturn                   100.03
2021-04-08 16:02:11.324101 CEST | MaxReturn                   999.879
2021-04-08 16:02:11.324224 CEST | MinReturn                   749.709
2021-04-08 16:02:11.324351 CEST | Iteration                    29
2021-04-08 16:02:11.324477 CEST | AverageDiscountedReturn     573.252
2021-04-08 16:02:11.324609 CEST | AverageReturn               879.823
2021-04-08 16:02:11.324736 CEST | ExplainedVariance             0.783589
2021-04-08 16:02:11.324862 CEST | NumTrajs                      5
2021-04-08 16:02:11.324990 CEST | Entropy                       1.40238
2021-04-08 16:02:11.325118 CEST | Perplexity                    4.06485
2021-04-08 16:02:11.325242 CEST | StdReturn                   240.042
2021-04-08 16:02:11.325363 CEST | MaxReturn                   999.866
2021-04-08 16:02:11.325570 CEST | MinReturn                   399.739
2021-04-08 16:02:11.325706 CEST | Iteration                    29
2021-04-08 16:02:11.325862 CEST | AverageDiscountedReturn     633.837
2021-04-08 16:02:11.326006 CEST | AverageReturn               999.816
2021-04-08 16:02:11.326172 CEST | ExplainedVariance             0.958654
2021-04-08 16:02:11.326338 CEST | NumTrajs                      4
2021-04-08 16:02:11.326489 CEST | Entropy                       1.40238
2021-04-08 16:02:11.326638 CEST | Perplexity                    4.06485
2021-04-08 16:02:11.326765 CEST | StdReturn                     0.0567968
2021-04-08 16:02:11.326891 CEST | MaxReturn                   999.872
2021-04-08 16:02:11.327018 CEST | MinReturn                   999.744
2021-04-08 16:02:11.327163 CEST | Iteration                    29
2021-04-08 16:02:11.327296 CEST | AverageDiscountedReturn     573.668
2021-04-08 16:02:11.327423 CEST | AverageReturn               863.763
2021-04-08 16:02:11.327560 CEST | ExplainedVariance             0.69959
2021-04-08 16:02:11.327692 CEST | NumTrajs                      5
2021-04-08 16:02:11.327823 CEST | Entropy                       1.40238
2021-04-08 16:02:11.327945 CEST | Perplexity                    4.06485
2021-04-08 16:02:11.328072 CEST | StdReturn                   170.918
2021-04-08 16:02:11.328199 CEST | MaxReturn                   999.8
2021-04-08 16:02:11.328325 CEST | MinReturn                   559.839
2021-04-08 16:02:11.328456 CEST | Iteration                    29
2021-04-08 16:02:11.328596 CEST | AverageDiscountedReturn     538.359
2021-04-08 16:02:11.328724 CEST | AverageReturn               808.123
2021-04-08 16:02:11.328854 CEST | ExplainedVariance             0.831926
2021-04-08 16:02:11.328984 CEST | NumTrajs                      6
2021-04-08 16:02:11.329111 CEST | Entropy                       1.40238
2021-04-08 16:02:11.329245 CEST | Perplexity                    4.06485
