2021-04-08 10:49:00.347166 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.347606 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.347864 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.348103 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.348340 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.348569 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.348798 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.349026 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.349252 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.349477 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.349700 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.349927 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.350154 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.350377 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.350602 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.350826 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.351053 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.351328 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.351555 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.351783 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:43.852722 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #23 | fitting baseline...
2021-04-08 10:49:43.853220 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #23 | fitted
2021-04-08 10:49:43.854161 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #23 | fitting baseline...
2021-04-08 10:49:43.854623 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #23 | fitted
2021-04-08 10:49:43.855566 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #23 | fitting baseline...
2021-04-08 10:49:43.856025 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #23 | fitted
2021-04-08 10:49:43.856933 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #23 | fitting baseline...
2021-04-08 10:49:43.857385 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #23 | fitted
2021-04-08 10:49:43.858382 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #23 | fitting baseline...
2021-04-08 10:49:43.858854 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #23 | fitted
2021-04-08 10:49:43.859798 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #23 | fitting baseline...
2021-04-08 10:49:43.860265 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #23 | fitted
2021-04-08 10:49:43.861175 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #23 | fitting baseline...
2021-04-08 10:49:43.861621 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #23 | fitted
2021-04-08 10:49:43.862535 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #23 | fitting baseline...
2021-04-08 10:49:43.863031 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #23 | fitted
2021-04-08 10:49:43.864187 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #23 | fitting baseline...
2021-04-08 10:49:43.864715 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #23 | fitted
2021-04-08 10:49:45.353195 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #24 | fitting baseline...
2021-04-08 10:49:45.353908 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #24 | fitted
2021-04-08 10:49:45.355040 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #24 | fitting baseline...
2021-04-08 10:49:45.355628 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #24 | fitted
2021-04-08 10:49:45.356549 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #24 | fitting baseline...
2021-04-08 10:49:45.356996 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #24 | fitted
2021-04-08 10:49:45.357897 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #24 | fitting baseline...
2021-04-08 10:49:45.358329 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #24 | fitted
2021-04-08 10:49:45.359219 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #24 | fitting baseline...
2021-04-08 10:49:45.359678 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #24 | fitted
2021-04-08 10:49:45.360672 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #24 | fitting baseline...
2021-04-08 10:49:45.361115 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #24 | fitted
2021-04-08 10:49:45.362054 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #24 | fitting baseline...
2021-04-08 10:49:45.362500 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #24 | fitted
2021-04-08 10:49:45.363400 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #24 | fitting baseline...
2021-04-08 10:49:45.363820 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #24 | fitted
2021-04-08 10:49:45.364687 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #24 | fitting baseline...
2021-04-08 10:49:45.365102 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #24 | fitted
2021-04-08 10:49:45.365989 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #24 | fitting baseline...
2021-04-08 10:49:45.366417 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #24 | fitted
2021-04-08 10:49:46.871689 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #25 | fitting baseline...
2021-04-08 10:49:46.872340 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #25 | fitted
2021-04-08 10:49:46.873333 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #25 | fitting baseline...
2021-04-08 10:49:46.873787 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #25 | fitted
2021-04-08 10:49:46.874833 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #25 | fitting baseline...
2021-04-08 10:49:46.875350 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #25 | fitted
2021-04-08 10:49:46.876234 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #25 | fitting baseline...
2021-04-08 10:49:46.876663 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #25 | fitted
2021-04-08 10:49:46.877568 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #25 | fitting baseline...
2021-04-08 10:49:46.878014 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #25 | fitted
2021-04-08 10:49:46.878928 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #25 | fitting baseline...
2021-04-08 10:49:46.879387 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #25 | fitted
2021-04-08 10:49:46.880372 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #25 | fitting baseline...
2021-04-08 10:49:46.880845 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #25 | fitted
2021-04-08 10:49:46.881739 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #25 | fitting baseline...
2021-04-08 10:49:46.882178 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #25 | fitted
2021-04-08 10:49:46.883054 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #25 | fitting baseline...
2021-04-08 10:49:46.883536 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #25 | fitted
2021-04-08 10:49:46.884663 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #25 | fitting baseline...
2021-04-08 10:49:46.885168 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #25 | fitted
2021-04-08 10:49:48.306959 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #26 | fitting baseline...
2021-04-08 10:49:48.307594 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #26 | fitted
2021-04-08 10:49:48.308487 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #26 | fitting baseline...
2021-04-08 10:49:48.308935 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #26 | fitted
2021-04-08 10:49:48.309856 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #26 | fitting baseline...
2021-04-08 10:49:48.310320 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #26 | fitted
2021-04-08 10:49:48.311306 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #26 | fitting baseline...
2021-04-08 10:49:48.311783 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #26 | fitted
2021-04-08 10:49:48.312701 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #26 | fitting baseline...
2021-04-08 10:49:48.313150 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #26 | fitted
2021-04-08 10:49:48.313948 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #26 | fitting baseline...
2021-04-08 10:49:48.314348 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #26 | fitted
2021-04-08 10:49:48.315178 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #26 | fitting baseline...
2021-04-08 10:49:48.315592 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #26 | fitted
2021-04-08 10:49:48.316396 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #26 | fitting baseline...
2021-04-08 10:49:48.316809 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #26 | fitted
2021-04-08 10:49:48.317602 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #26 | fitting baseline...
2021-04-08 10:49:48.318010 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #26 | fitted
2021-04-08 10:49:48.318795 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #26 | fitting baseline...
2021-04-08 10:49:48.319245 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #26 | fitted
2021-04-08 10:49:49.796186 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #27 | fitting baseline...
2021-04-08 10:49:49.796775 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #27 | fitted
2021-04-08 10:49:49.797763 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #27 | fitting baseline...
2021-04-08 10:49:49.798228 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #27 | fitted
2021-04-08 10:49:49.799170 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #27 | fitting baseline...
2021-04-08 10:49:49.799612 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #27 | fitted
2021-04-08 10:49:49.800507 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #27 | fitting baseline...
2021-04-08 10:49:49.800945 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #27 | fitted
2021-04-08 10:49:49.801878 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #27 | fitting baseline...
2021-04-08 10:49:49.802342 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #27 | fitted
2021-04-08 10:49:49.803341 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #27 | fitting baseline...
2021-04-08 10:49:49.803818 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #27 | fitted
2021-04-08 10:49:49.804697 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #27 | fitting baseline...
2021-04-08 10:49:49.805110 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #27 | fitted
2021-04-08 10:49:49.805999 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #27 | fitting baseline...
2021-04-08 10:49:49.806415 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #27 | fitted
2021-04-08 10:49:49.807338 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #27 | fitting baseline...
2021-04-08 10:49:49.807760 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #27 | fitted
2021-04-08 10:49:49.808659 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #27 | fitting baseline...
2021-04-08 10:49:49.809108 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #27 | fitted
2021-04-08 10:49:51.269502 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #28 | fitting baseline...
2021-04-08 10:49:51.270260 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #28 | fitted
2021-04-08 10:49:51.271570 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #28 | fitting baseline...
2021-04-08 10:49:51.272221 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #28 | fitted
2021-04-08 10:49:51.273380 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #28 | fitting baseline...
2021-04-08 10:49:51.273987 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #28 | fitted
2021-04-08 10:49:51.275185 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #28 | fitting baseline...
2021-04-08 10:49:51.275708 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #28 | fitted
2021-04-08 10:49:51.276754 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #28 | fitting baseline...
2021-04-08 10:49:51.277336 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #28 | fitted
2021-04-08 10:49:51.278413 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #28 | fitting baseline...
2021-04-08 10:49:51.279474 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #28 | fitted
2021-04-08 10:49:51.281054 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #28 | fitting baseline...
2021-04-08 10:49:51.282146 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #28 | fitted
2021-04-08 10:49:51.283802 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #28 | fitting baseline...
2021-04-08 10:49:51.284812 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #28 | fitted
2021-04-08 10:49:51.286029 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #28 | fitting baseline...
2021-04-08 10:49:51.286658 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #28 | fitted
2021-04-08 10:49:51.287959 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #28 | fitting baseline...
2021-04-08 10:49:51.288629 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #28 | fitted
2021-04-08 10:49:52.887250 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #29 | fitting baseline...
2021-04-08 10:49:52.887921 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #29 | fitted
2021-04-08 10:49:52.889041 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #29 | fitting baseline...
2021-04-08 10:49:52.889656 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #29 | fitted
2021-04-08 10:49:52.890633 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #29 | fitting baseline...
2021-04-08 10:49:52.891070 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #29 | fitted
2021-04-08 10:49:52.891907 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #29 | fitting baseline...
2021-04-08 10:49:52.892320 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #29 | fitted
2021-04-08 10:49:52.893188 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #29 | fitting baseline...
2021-04-08 10:49:52.893609 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #29 | fitted
2021-04-08 10:49:52.894395 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #29 | fitting baseline...
2021-04-08 10:49:52.894780 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #29 | fitted
2021-04-08 10:49:52.895684 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #29 | fitting baseline...
2021-04-08 10:49:52.896155 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #29 | fitted
2021-04-08 10:49:52.897087 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #29 | fitting baseline...
2021-04-08 10:49:52.897525 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #29 | fitted
2021-04-08 10:49:52.898519 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #29 | fitting baseline...
2021-04-08 10:49:52.898990 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #29 | fitted
2021-04-08 10:49:52.899986 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #29 | fitting baseline...
2021-04-08 10:49:52.900487 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #29 | fitted
2021-04-08 10:49:54.256062 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #30 | fitting baseline...
2021-04-08 10:49:54.256729 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #30 | fitted
2021-04-08 10:49:54.257820 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #30 | fitting baseline...
2021-04-08 10:49:54.258345 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #30 | fitted
2021-04-08 10:49:54.259360 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #30 | fitting baseline...
2021-04-08 10:49:54.259847 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #30 | fitted
2021-04-08 10:49:54.260804 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #30 | fitting baseline...
2021-04-08 10:49:54.261276 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #30 | fitted
2021-04-08 10:49:54.262208 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #30 | fitting baseline...
2021-04-08 10:49:54.262664 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #30 | fitted
2021-04-08 10:49:54.263587 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #30 | fitting baseline...
2021-04-08 10:49:54.264056 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #30 | fitted
2021-04-08 10:49:54.264979 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #30 | fitting baseline...
2021-04-08 10:49:54.265429 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #30 | fitted
2021-04-08 10:49:54.266332 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #30 | fitting baseline...
2021-04-08 10:49:54.266790 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #30 | fitted
2021-04-08 10:49:54.267792 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #30 | fitting baseline...
2021-04-08 10:49:54.268256 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #30 | fitted
2021-04-08 10:49:54.269189 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #30 | fitting baseline...
2021-04-08 10:49:54.269674 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #30 | fitted
2021-04-08 10:49:54.296435 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #30 | saving snapshot...
2021-04-08 10:49:54.298903 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] itr #30 | saved
2021-04-08 10:49:54.333804 CEST | -----------------------  -------------
2021-04-08 10:49:54.334037 CEST | Iteration                   21
2021-04-08 10:49:54.334211 CEST | AverageDiscountedReturn    633.826
2021-04-08 10:49:54.334360 CEST | AverageReturn              999.786
2021-04-08 10:49:54.334519 CEST | ExplainedVariance            0.993183
2021-04-08 10:49:54.334670 CEST | NumTrajs                     4
2021-04-08 10:49:54.334836 CEST | Entropy                      1.30398
2021-04-08 10:49:54.334991 CEST | Perplexity                   3.68392
2021-04-08 10:49:54.335176 CEST | StdReturn                    0.0366465
2021-04-08 10:49:54.335329 CEST | MaxReturn                  999.843
2021-04-08 10:49:54.335470 CEST | MinReturn                  999.745
2021-04-08 10:49:54.335607 CEST | Iteration                   21
2021-04-08 10:49:54.335753 CEST | AverageDiscountedReturn    607.965
2021-04-08 10:49:54.335901 CEST | AverageReturn              937.726
2021-04-08 10:49:54.336048 CEST | ExplainedVariance            0.880586
2021-04-08 10:49:54.336190 CEST | NumTrajs                     5
2021-04-08 10:49:54.336332 CEST | Entropy                      1.30398
2021-04-08 10:49:54.336475 CEST | Perplexity                   3.68392
2021-04-08 10:49:54.336625 CEST | StdReturn                  105.107
2021-04-08 10:49:54.336771 CEST | MaxReturn                  999.737
2021-04-08 10:49:54.336917 CEST | MinReturn                  729.793
2021-04-08 10:49:54.337061 CEST | Iteration                   21
2021-04-08 10:49:54.337206 CEST | AverageDiscountedReturn    610.094
2021-04-08 10:49:54.337348 CEST | AverageReturn              939.627
2021-04-08 10:49:54.337503 CEST | ExplainedVariance            0.947773
2021-04-08 10:49:54.337643 CEST | NumTrajs                     5
2021-04-08 10:49:54.337787 CEST | Entropy                      1.30398
2021-04-08 10:49:54.337930 CEST | Perplexity                   3.68392
2021-04-08 10:49:54.338074 CEST | StdReturn                   66.0159
2021-04-08 10:49:54.338267 CEST | MaxReturn                  999.759
2021-04-08 10:49:54.338428 CEST | MinReturn                  819.758
2021-04-08 10:49:54.338578 CEST | Iteration                   21
2021-04-08 10:49:54.338728 CEST | AverageDiscountedReturn    514.76
2021-04-08 10:49:54.338880 CEST | AverageReturn              798.147
2021-04-08 10:49:54.339036 CEST | ExplainedVariance            0.907411
2021-04-08 10:49:54.339217 CEST | NumTrajs                     6
2021-04-08 10:49:54.339375 CEST | Entropy                      1.30398
2021-04-08 10:49:54.339531 CEST | Perplexity                   3.68392
2021-04-08 10:49:54.339685 CEST | StdReturn                  361.518
2021-04-08 10:49:54.339833 CEST | MaxReturn                  999.88
2021-04-08 10:49:54.339991 CEST | MinReturn                    9.97939
2021-04-08 10:49:54.340151 CEST | Iteration                   21
2021-04-08 10:49:54.340309 CEST | AverageDiscountedReturn    620.173
2021-04-08 10:49:54.340466 CEST | AverageReturn              965.765
2021-04-08 10:49:54.340630 CEST | ExplainedVariance            0.971802
2021-04-08 10:49:54.340794 CEST | NumTrajs                     5
2021-04-08 10:49:54.340958 CEST | Entropy                      1.30398
2021-04-08 10:49:54.341125 CEST | Perplexity                   3.68392
2021-04-08 10:49:54.341297 CEST | StdReturn                   67.9994
2021-04-08 10:49:54.341477 CEST | MaxReturn                  999.833
2021-04-08 10:49:54.341628 CEST | MinReturn                  829.766
2021-04-08 10:49:54.341771 CEST | Iteration                   21
2021-04-08 10:49:54.341911 CEST | AverageDiscountedReturn    630.076
2021-04-08 10:49:54.342062 CEST | AverageReturn              989.811
2021-04-08 10:49:54.342218 CEST | ExplainedVariance            0.984362
2021-04-08 10:49:54.342403 CEST | NumTrajs                     5
2021-04-08 10:49:54.342596 CEST | Entropy                      1.30398
2021-04-08 10:49:54.342783 CEST | Perplexity                   3.68392
2021-04-08 10:49:54.342975 CEST | StdReturn                   19.9934
2021-04-08 10:49:54.343188 CEST | MaxReturn                  999.851
2021-04-08 10:49:54.343370 CEST | MinReturn                  949.824
2021-04-08 10:49:54.343556 CEST | Iteration                   21
2021-04-08 10:49:54.343748 CEST | AverageDiscountedReturn    633.857
2021-04-08 10:49:54.343924 CEST | AverageReturn              999.828
2021-04-08 10:49:54.344076 CEST | ExplainedVariance            0.999011
2021-04-08 10:49:54.344246 CEST | NumTrajs                     4
2021-04-08 10:49:54.344387 CEST | Entropy                      1.30398
2021-04-08 10:49:54.344537 CEST | Perplexity                   3.68392
2021-04-08 10:49:54.344684 CEST | StdReturn                    0.0636488
2021-04-08 10:49:54.344833 CEST | MaxReturn                  999.88
2021-04-08 10:49:54.344978 CEST | MinReturn                  999.72
2021-04-08 10:49:54.345122 CEST | Iteration                   21
2021-04-08 10:49:54.345267 CEST | AverageDiscountedReturn    628.506
2021-04-08 10:49:54.345411 CEST | AverageReturn              985.802
2021-04-08 10:49:54.345556 CEST | ExplainedVariance            0.989865
2021-04-08 10:49:54.345706 CEST | NumTrajs                     5
2021-04-08 10:49:54.345859 CEST | Entropy                      1.30398
2021-04-08 10:49:54.346005 CEST | Perplexity                   3.68392
2021-04-08 10:49:54.346152 CEST | StdReturn                   27.9832
2021-04-08 10:49:54.346303 CEST | MaxReturn                  999.877
2021-04-08 10:49:54.346448 CEST | MinReturn                  929.835
2021-04-08 10:49:54.346603 CEST | Iteration                   21
